"","group","group_name","seqnames","start","end","strand","name","idx","Log2FC","FDR","MeanDiff"
"12535",1,"C1","27",3749198,3740029,2,"PLCD3",132,2.05141734432392,4.68420024691252e-24,0.809119439037357
"15189",1,"C1","30",301369,302518,1,"NA_ENSGALG00000047515",21,1.55284808400976,4.69902114301991e-24,1.78429752975007
"12056",1,"C1","25",3744406,3742770,2,"CIART",324,2.29647160501126,6.08362662480382e-24,1.46648022178969
"21059",1,"C1","7",36721350,36717555,2,"NA_ENSGALG00000040178",755,3.7503747807798,6.66828022663317e-24,0.882014848193531
"10665",1,"C1","21",581910,570199,2,"ZBTB48",26,1.72918613047553,7.83608559284982e-24,0.856068256506853
"7650",1,"C1","19",5528116,5528017,2,"MIR22",201,1.82913081983812,1.09054271820397e-23,2.40444528793735
"12599",1,"C1","27",5460672,5464686,1,"G6PC3",196,2.27001259001928,1.63658255968384e-23,0.630178000913484
"15213",1,"C1","30",541639,536936,2,"NA_ENSGALG00000050204",45,2.51974770001392,1.93284869046416e-23,0.622802233239528
"11149",1,"C1","22",5177339,5208257,1,"OGDH",205,1.34024565632257,2.5960876013564e-23,0.795602333432485
"7649",1,"C1","19",5529902,5542776,1,"WDR81",200,1.75462944283289,2.86130260704326e-23,0.799945942471003
"12392",1,"C1","26",5427010,5424890,2,"NA_ENSGALG00000048961",302,2.54550552605176,2.97942534310971e-23,1.11124663323358
"17996",1,"C1","4",90959997,90973578,1,"RTKN",1826,1.56254289456711,2.97942534310971e-23,1.01874655002173
"7035",1,"C1","17",10706132,10748976,1,"GARNL3",395,1.62096531531481,3.36230579608488e-23,0.505033979114294
"16050",1,"C1","33",6702978,6686124,2,"LOC100859454",334,2.856234800531,3.76247261311468e-23,0.493148610129857
"11913",1,"C1","25",2617131,2622609,1,"HDGF",181,1.96139519786012,3.8259017784316e-23,1.09573643043025
"15679",1,"C1","32",325338,338767,1,"LOC101750560",40,2.81833374572937,5.21984171560048e-23,0.564346176856568
"7445",1,"C1","18",11317535,11312014,2,"NA_ENSGALG00000051337",408,2.71004917276108,5.93088722896086e-23,0.548448790912594
"13107",1,"C1","28",4047308,4038946,2,"SSBP4",286,1.9092587213158,6.11102269088135e-23,0.708992598945725
"7435",1,"C1","18",10892959,10923792,1,"LLGL2",398,1.39722981622307,8.92964869767486e-23,0.53749497308913
"12663",1,"C1","27",6496060,6492112,2,"CDK5RAP3",260,1.60891480145146,9.42689271233232e-23,1.30513691595379
"13020",1,"C1","28",3176587,3182020,1,"RBM3",199,1.41049599930714,9.44186796306161e-23,1.25221213357286
"12165",1,"C1","26",1233965,1222615,2,"NA_ENSGALG00000049976",75,1.60158678916393,1.02161281897325e-22,0.625448586764664
"15180",1,"C1","30",198020,215824,1,"LOC107050992",12,2.09830925879091,1.04382561191481e-22,0.53523411435611
"16026",1,"C1","33",6482662,6484691,1,"UQCC3",310,1.66980978200411,1.06271232666708e-22,1.45785101249655
"10667",1,"C1","21",584539,589045,1,"NOL9",28,1.45703204007932,1.07119068196087e-22,0.98457561612071
"15284",1,"C1","30",1397666,1397745,1,"NA_ENSGALG00000047304",116,1.96304028560165,1.1603772715835e-22,1.06732678140362
"13003",1,"C1","28",2941948,2942054,1,"LOC112530464",182,2.07276296638214,1.26542683720428e-22,1.21954386485436
"16512",1,"C1","4",11485646,11471654,2,"RRAGA",342,1.45973928659303,1.26547455983894e-22,0.808690037892784
"6013",1,"C1","15",116313,113069,2,"LOC107050564",9,2.9315119210517,1.52767979496324e-22,0.793017176766018
"18206",1,"C1","5",3286562,3300012,1,"NA_ENSGALG00000049059",178,1.25597832648433,1.59169134482307e-22,0.569036558920086
"15188",1,"C1","30",294497,289872,2,"GRIPAP1",20,1.73287992797911,1.60699885652828e-22,1.06009243124413
"16034",1,"C1","33",6537022,6533009,2,"NA_ENSGALG00000047410",318,1.73773301100216,1.61795303545979e-22,1.19575121453414
"15295",1,"C1","30",1522266,1530175,1,"NA_ENSGALG00000049500",127,2.07531068291083,1.66897966442351e-22,0.250170708231387
"15376",1,"C1","31",2224436,2219418,2,"NA_ENSGALG00000050005",75,2.37803930921647,1.66897966442351e-22,0.70723908481371
"15655",1,"C1","32",145809,142936,2,"PAF1",16,2.42635242480269,1.67151042539185e-22,0.953970529350001
"12819",1,"C1","27",8018369,8012005,2,"MPP2",416,1.93738548269407,2.2266554533394e-22,0.58008265950263
"15697",1,"C1","32",535569,533084,2,"NA_ENSGALG00000048592",58,2.07555668457352,2.28956167142218e-22,0.625048930373891
"22504",1,"C1","9",24125592,24122589,2,"NA_ENSGALG00000037374",694,3.1111829722525,2.34879484556193e-22,0.846668237095592
"15901",1,"C1","33",4857742,4850993,2,"LOC107051531",185,2.26004558380565,2.59748564180382e-22,0.781299691149555
"15902",1,"C1","33",4858063,4866897,1,"NA_ENSGALG00000051235",186,2.2641977113428,2.60064239416636e-22,0.714599706009479
"12045",1,"C1","25",3660805,3660678,2,"NA_ENSGALG00000039433",313,2.57637987773634,2.63402906270576e-22,1.43358835812586
"12046",1,"C1","25",3660806,3660678,2,"LOC112530315",314,2.57645505889054,2.63402906270576e-22,1.43326640681977
"6009",1,"C1","15",80489,86729,1,"NA_ENSGALG00000052567",5,2.33025493516135,2.63848002787501e-22,0.254973179910496
"15656",1,"C1","32",146040,147421,1,"MED29",17,2.45933167424952,2.85248581665782e-22,1.16956068744527
"12538",1,"C1","27",3761429,3757594,2,"NA_ENSGALG00000035554",135,1.73858755955269,2.90170529033123e-22,1.3769067738813
"15469",1,"C1","31",2738957,2687700,2,"NA_ENSGALG00000054366",168,2.98043343243375,3.02463398807858e-22,0.299795088392916
"16027",1,"C1","33",6489108,6485577,2,"LOC107050177",311,1.76900036612676,3.29708658562367e-22,1.15755816839217
"15254",1,"C1","30",1037427,1050782,1,"OLFM2",86,2.99050427149439,3.77989009112529e-22,0.420053752493025
"16163",1,"C1","33",7735343,7729329,2,"NA_ENSGALG00000051041",447,1.95392399335975,4.99610815648023e-22,0.85403641145773
"15698",1,"C1","32",541274,545258,1,"RTN2",59,2.05445715754235,5.48248322725505e-22,0.624397587888704
"16038",1,"C1","33",6558280,6550475,2,"MTA2",322,2.17361489428229,5.89136769057569e-22,0.715863180434283
"15664",1,"C1","32",208994,283021,1,"TGFB1",25,1.20622357623332,6.76075077017952e-22,0.818550789969806
"13045",1,"C1","28",3414427,3446334,1,"LOC101748987",224,1.50177683680155,1.11870281196666e-21,0.59280723010622
"18029",1,"C1","5",40114,58105,1,"NA_ENSGALG00000054033",1,3.5722672967664,1.11870281196666e-21,0.367263469627673
"17994",1,"C1","4",90956999,90954846,2,"WBP1",1824,1.66419681252984,1.13852211721939e-21,1.89839047799391
"15185",1,"C1","30",280766,276665,2,"SUV39H1",17,2.08451827321601,1.4441080186748e-21,0.813456200823891
"15228",1,"C1","30",756332,747981,2,"MCOLN1",60,2.64949659090873,1.4441080186748e-21,0.580604829684531
"15205",1,"C1","30",424835,428758,1,"FARSA",37,1.87902855906057,1.5936555820461e-21,1.03555116436061
"16016",1,"C1","33",6344648,6351623,1,"RBM14",300,1.79229597556954,1.68536277578607e-21,0.625258296533595
"15288",1,"C1","30",1406051,1401250,2,"MRI1",120,1.74430846037309,1.80436033907779e-21,0.729316931555741
"16029",1,"C1","33",6498650,6506293,1,"KAT5",313,1.66759652372166,1.86316032062175e-21,0.718312366158279
"13084",1,"C1","28",3761765,3772296,1,"SUGP2",263,1.93931521302865,1.92129194542106e-21,0.598622062590995
"15178",1,"C1","30",169389,179029,1,"CDC37",10,2.54050576234358,1.93014805232929e-21,0.372014588597954
"16022",1,"C1","33",6409948,6406304,2,"NA_ENSGALG00000047632",306,1.99525264079377,1.96773454252291e-21,0.815165421730955
"12662",1,"C1","27",6490273,6479452,2,"NFE2L1",259,1.6115116288107,2.08250853519819e-21,1.10108789514549
"6503",1,"C1","16",736706,711839,2,"NA_ENSGALG00000037980",8,2.78790177706104,2.10686920672497e-21,0.10325851141823
"16036",1,"C1","33",6534818,6534693,2,"LOC112530965",320,1.81618125913014,2.12148195056953e-21,1.75679992433258
"16072",1,"C1","33",6893346,6897535,1,"ATP5B",356,1.46746978699766,2.17995738244855e-21,0.767563364330629
"12166",1,"C1","26",1226090,1231121,1,"NA_ENSGALG00000047631",76,1.66363372753899,2.20062946465091e-21,0.598897300278918
"11914",1,"C1","25",2623109,2624227,1,"MRPL24",182,1.94965983396522,2.32110550714207e-21,1.31485834787618
"11951",1,"C1","25",3003576,3000756,2,"PMVK",219,2.2672871749168,2.69270291803109e-21,0.840615027280319
"12400",1,"C1","26",5499800,5503029,1,"NA_ENSGALG00000049721",310,2.28176882439189,3.01170330988333e-21,0.42479764281362
"15270",1,"C1","30",1168962,1176486,1,"LOC107050016",102,2.1642535165547,3.01876446048069e-21,0.638050736248786
"12913",1,"C1","28",1553131,1561535,1,"EEF2",92,1.82317694857504,3.16408327128124e-21,0.938290025488103
"17993",1,"C1","4",90952074,90954966,1,"MOGS",1823,1.65685087790893,3.32322019876466e-21,1.40395611444938
"11152",1,"C1","22",5209156,5212728,1,"PPIA",208,1.76650436448143,3.38038851243044e-21,0.996017040353587
"12319",1,"C1","26",3929915,3912642,2,"CSDE1",229,1.86889221284968,3.42970053107299e-21,0.693931748212096
"15199",1,"C1","30",392257,395386,1,"CNN1",31,1.89577948463138,3.76966562628397e-21,0.759163566520762
"4771",1,"C1","12",11885084,11886882,1,"NA_ENSGALG00000053876",332,1.88486652015404,5.27182751915279e-21,0.967005280703955
"11116",1,"C1","22",4022377,4016011,2,"H2AFV",172,1.69485580306843,5.7669374421354e-21,1.12414153961729
"16078",1,"C1","33",6919982,6916898,2,"RBMS2",362,1.93608174958675,5.9061301557021e-21,0.801982856053494
"11093",1,"C1","22",3740099,3730269,2,"CNNM4",149,1.63959843868832,7.28258426858931e-21,0.882507109196811
"13044",1,"C1","28",3402915,3403596,1,"LOC100859819",223,1.9873380621213,7.36118432275962e-21,1.83260236399961
"6459",1,"C1","15",11393540,11405772,1,"THOC5",455,1.37888209823544,9.10121659195167e-21,0.663597771705177
"16035",1,"C1","33",6534222,6534155,2,"NA_ENSGALG00000030470",319,1.79519254347703,1.03659536349197e-20,1.76927552309401
"15198",1,"C1","30",392236,389402,2,"ECSIT",30,1.90061145415192,1.14699971102028e-20,0.75495868583915
"7318",1,"C1","18",9216876,9219065,1,"NA_ENSGALG00000038575",281,1.57016725289002,1.18850822650617e-20,1.47057804163457
"12031",1,"C1","25",3540945,3531904,2,"CLK2",299,2.07509398179902,1.1982890058589e-20,0.641058576584416
"12691",1,"C1","27",6847854,6842842,2,"CWC25",288,1.89828690359432,1.1982890058589e-20,1.04266109858022
"16011",1,"C1","33",6330288,6324924,2,"NA_ENSGALG00000049883",295,2.77404629951098,1.2456761509985e-20,0.308321948448695
"4943",1,"C1","12",20327306,20328730,1,"INTS5",504,3.03719666411502,1.33510680014836e-20,0.458787754356341
"11082",1,"C1","22",3621116,3626368,1,"LOC107050412",138,1.92195934968749,1.37179357130473e-20,1.03672168270605
"15231",1,"C1","30",770562,784767,1,"RASAL3",63,2.55824355895962,1.40421237860664e-20,0.325404959422123
"11085",1,"C1","22",3663296,3664720,1,"LOC112530170",141,2.31445647850293,1.47090143082125e-20,0.642139077213004
"15689",1,"C1","32",452461,458542,1,"NA_ENSGALG00000047981",50,2.43280465985856,1.60252241288047e-20,0.562492717830265
"12395",1,"C1","26",5445256,5442987,2,"LOC112530337",305,2.1494889372906,1.68021080806662e-20,1.04439002146466
"15569",1,"C1","31",4760498,4754117,2,"LIG1",268,1.83870438684195,1.86409406489819e-20,0.72372192486051
"6465",1,"C1","15",11468019,11458132,2,"EMID1",461,2.32371684043578,2.04470844064272e-20,0.439265697307793
"12058",1,"C1","25",3752619,3744855,2,"APH1A",326,1.88185395518167,2.16388385508752e-20,0.79670462611731
"4772",1,"C1","12",11885120,11885762,1,"NA_ENSGALG00000032828",333,1.84615215996868,2.25104664951831e-20,1.16760053675556
"12396",1,"C1","26",5447786,5451967,1,"GPKOW",306,2.14554520267541,2.66892899087911e-20,0.94726811905731
"12915",1,"C1","28",1557065,1557134,1,"NA_ENSGALG00000025600",94,1.82950368772203,2.74683789787753e-20,1.73466555719813
"12914",1,"C1","28",1557064,1557140,1,"SNORD37",93,1.82933269437306,2.75245586604487e-20,1.73035580174786
"15184",1,"C1","30",273453,276588,1,"NA_ENSGALG00000044536",16,1.73368916970252,2.78544427396315e-20,0.798987775347289
"11462",1,"C1","23",5719446,5731936,1,"TCEB3",290,1.63996633889213,2.98055631041088e-20,0.576707572947127
"15196",1,"C1","30",383756,382389,2,"NA_ENSGALG00000054488",28,2.03165343874536,3.42379166204759e-20,0.633627089308358
"12424",1,"C1","27",2202592,2199924,2,"NA_ENSGALG00000054820",21,3.15761832899729,3.47959128907242e-20,0.283180418108937
"13042",1,"C1","28",3401884,3398994,2,"GADD45B",221,1.92559802646091,3.54085630890657e-20,1.21253655426845
"15272",1,"C1","30",1191250,1188055,2,"ASNA1",104,2.44747810275111,4.03013432228825e-20,1.04140269245309
"16145",1,"C1","33",7483850,7481175,2,"ATP5G2",429,1.60086067187525,4.17378977738274e-20,1.03188519752887
"15177",1,"C1","30",164241,159765,2,"NA_ENSGALG00000050456",9,2.85460810325993,4.94706326857293e-20,0.329136540750617
"15269",1,"C1","30",1165252,1161589,2,"LOC107050018",101,2.31562355525028,5.09836499328796e-20,0.663253127165118
"10676",1,"C1","21",642463,637226,2,"RNF207",37,1.5599976727899,5.47809028600867e-20,0.695987617257781
"15273",1,"C1","30",1191404,1194104,1,"C19orf43",105,2.4754682266298,5.86055442378595e-20,1.14474173557526
